state_name,year,tempf,tempc
US,1895,50.3375,10.1875
US,1896,51.99333333333333,11.107407407407408
US,1897,51.55666666666666,10.864814814814816
US,1898,51.43166666666666,10.795370370370375
US,1899,51.00916666666666,10.560648148148148
US,1900,52.77333333333333,11.54074074074074
US,1901,51.87416666666667,11.041203703703705
US,1902,51.58833333333333,10.882407407407406
US,1903,50.62416666666667,10.34675925925926
US,1904,51.155,10.641666666666667
US,1905,50.99666666666667,10.553703703703707
US,1906,51.725,10.958333333333336
US,1907,51.48333333333333,10.824074074074074
US,1908,52.07666666666667,11.153703703703703
US,1909,51.43333333333334,10.796296296296296
US,1910,52.4225,11.345833333333333
US,1911,52.02833333333334,11.126851851851852
US,1912,50.2325,10.129166666666668
US,1913,51.5425,10.856944444444444
US,1914,51.84,11.02222222222222
US,1915,51.44666666666666,10.803703703703704
US,1916,50.848333333333336,10.471296296296297
US,1917,50.0625,10.034722222222221
US,1918,51.8675,11.0375
US,1919,51.54833333333333,10.860185185185184
US,1920,51.07416666666667,10.596759259259262
US,1921,53.8,12.111111111111107
US,1922,52.02666666666667,11.125925925925927
US,1923,51.63916666666667,10.910648148148148
US,1924,50.5875,10.326388888888891
US,1925,52.51916666666666,11.399537037037033
US,1926,51.95333333333333,11.085185185185184
US,1927,52.14666666666667,11.192592592592595
US,1928,51.91833333333334,11.065740740740745
US,1929,50.85416666666666,10.474537037037038
US,1930,51.97833333333333,11.099074074074073
US,1931,53.5375,11.965277777777779
US,1932,51.73333333333333,10.962962962962964
US,1933,52.99083333333334,11.661574074074075
US,1934,54.10416666666667,12.280092592592595
US,1935,51.89666666666667,11.053703703703706
US,1936,52.1525,11.195833333333335
US,1937,51.55,10.861111111111114
US,1938,53.1825,11.768055555555556
US,1939,53.26083333333333,11.811574074074073
US,1940,51.88666666666666,11.048148148148146
US,1941,52.6575,11.476388888888886
US,1942,51.8375,11.020833333333336
US,1943,52.06583333333333,11.147685185185184
US,1944,51.83,11.016666666666666
US,1945,51.75,10.972222222222221
US,1946,52.94666666666666,11.637037037037034
US,1947,51.91583333333333,11.06435185185185
US,1948,51.60833333333333,10.893518518518519
US,1949,52.02083333333333,11.122685185185185
US,1950,51.3925,10.773611111111109
US,1951,51.1175,10.620833333333334
US,1952,52.27166666666667,11.26203703703704
US,1953,53.365,11.869444444444447
US,1954,53.3275,11.848611111111113
US,1955,51.69333333333334,10.940740740740743
US,1956,52.34083333333334,11.300462962962966
US,1957,52.04166666666667,11.13425925925926
US,1958,51.93250000000001,11.073611111111115
US,1959,52.105,11.169444444444444
US,1960,51.44333333333334,10.801851851851852
US,1961,51.8675,11.0375
US,1962,51.90333333333334,11.057407407407407
US,1963,52.25666666666667,11.253703703703703
US,1964,51.67333333333333,10.929629629629627
US,1965,51.68583333333334,10.936574074074075
US,1966,51.49083333333334,10.828240740740744
US,1967,51.76083333333333,10.978240740740738
US,1968,51.32,10.733333333333333
US,1969,51.5025,10.83472222222222
US,1970,51.61,10.894444444444444
US,1971,51.65666666666666,10.920370370370375
US,1972,51.37083333333334,10.761574074074074
US,1973,52.2875,11.270833333333336
US,1974,52.26416666666667,11.257870370370373
US,1975,51.50083333333333,10.833796296296295
US,1976,51.46916666666666,10.816203703703703
US,1977,52.55333333333334,11.41851851851852
US,1978,51.045,10.580555555555557
US,1979,50.88333333333333,10.49074074074074
US,1980,52.38916666666667,11.327314814814816
US,1981,53.12166666666666,11.734259259259256
US,1982,51.345,10.747222222222224
US,1983,51.88083333333334,11.044907407407408
US,1984,51.975,11.097222222222221
US,1985,51.3025,10.723611111111106
US,1986,53.32083333333333,11.844907407407408
US,1987,53.33166666666667,11.850925925925926
US,1988,52.63,11.461111111111114
US,1989,51.835,11.019444444444444
US,1990,53.51416666666667,11.952314814814816
US,1991,53.15833333333333,11.754629629629626
US,1992,52.60416666666666,11.446759259259258
US,1993,51.2625,10.701388888888888
US,1994,52.86583333333334,11.592129629629634
US,1995,52.65333333333334,11.474074074074075
US,1996,51.885,11.04722222222222
US,1997,52.20166666666667,11.223148148148148
US,1998,54.23333333333333,12.351851851851851
US,1999,53.87583333333333,12.15324074074074
US,2000,53.26666666666666,11.814814814814815
US,2001,53.695,12.052777777777774
US,2002,53.20833333333333,11.782407407407405
US,2003,53.25833333333333,11.810185185185185
US,2004,53.095,11.719444444444445
US,2005,53.6375,12.020833333333336
US,2006,54.25166666666666,12.362037037037034
US,2007,53.65333333333334,12.029629629629634
US,2008,52.29416666666667,11.274537037037039
US,2009,52.39,11.327777777777778
US,2010,52.98416666666667,11.657870370370368
US,2011,53.18333333333334,11.768518518518519
US,2012,55.28416666666666,12.935648148148148
US,2013,52.42666666666666,11.348148148148146
US,2014,52.53916666666667,11.410648148148148
US,2015,54.40166666666667,12.445370370370373
US,2016,54.915,12.730555555555556
US,2017,54.55166666666667,12.528703703703707
US,2018,53.51833333333333,11.954629629629625
US,2019,52.67166666666667,11.48425925925926
